customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Male,0,Yes,No,50,No,DSL,Month-to-month,Yes,Credit card (automatic),58.64,2995.33,No
C00001,Female,0,Yes,Yes,70,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),117.74,8205.43,Yes
C00002,Male,1,Yes,No,47,Yes,DSL,One year,No,Credit card (automatic),69.77,3332.55,No
C00003,Male,0,No,Yes,18,Yes,DSL,Month-to-month,No,Credit card (automatic),74.33,1305.15,No
C00004,Male,0,Yes,Yes,5,Yes,DSL,Two year,Yes,Bank transfer (automatic),90.66,491.68,No
C00005,Female,0,No,Yes,26,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),67.42,1841.79,No
C00006,Male,0,No,No,52,Yes,No,Two year,No,Credit card (automatic),40.91,2066.88,No
C00007,Male,0,Yes,Yes,47,Yes,No,Month-to-month,No,Electronic check,72.8,3394.71,Yes
C00008,Male,0,Yes,No,6,Yes,Fiber optic,One year,No,Bank transfer (automatic),114.32,660.13,Yes
C00009,Female,0,No,Yes,58,Yes,DSL,Month-to-month,Yes,Electronic check,59.81,3482.26,No
C00010,Male,0,No,No,68,Yes,Fiber optic,Two year,No,Bank transfer (automatic),87.32,5961.43,No
C00011,Male,1,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Yes,Mailed check,117.76,1173.14,Yes
C00012,Male,1,Yes,No,14,Yes,DSL,One year,Yes,Bank transfer (automatic),102.65,1353.01,No
C00013,Male,0,Yes,No,63,Yes,DSL,Two year,Yes,Bank transfer (automatic),85.22,5307.31,No
C00014,Female,0,No,No,2,Yes,DSL,Month-to-month,Yes,Electronic check,93.07,141.96,Yes
C00015,Male,1,No,No,68,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),113.52,7747.35,No
C00016,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),115.89,2479.82,Yes
C00017,Female,0,No,No,52,Yes,No,Month-to-month,No,Electronic check,116.83,6029.48,Yes
C00018,Female,1,No,Yes,36,Yes,DSL,Month-to-month,Yes,Mailed check,81.82,2888.84,No
C00019,Male,0,Yes,No,8,Yes,DSL,Month-to-month,No,Mailed check,57.24,474.99,No
C00020,Female,0,Yes,No,14,Yes,Fiber optic,Month-to-month,Yes,Mailed check,31.58,498.71,Yes
C00021,Male,0,No,No,2,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),57.33,122.37,Yes
